0	0.00161207711685362
1	0.00161207711685362
2	1.99124926642168e-6
3	1.99124926642168e-6
4	2.37100266181145e-9
5	2.37100266181145e-9
6	2.79462729502589e-12
7	2.79462729502589e-12
8	1.47685746038633e-14
9	1.47685746038633e-14
10	1.79087783856641e-14
11	1.79087783856641e-14
12	1.31413802602892e-14
13	1.31413802602892e-14
14	1.28047995008684e-14
15	1.28047995008684e-14


0	0.00229240674218940
1	0.00229240674218940
2	0.000120806795839100
3	0.000120806795839100
4	6.07798118897949e-6
5	6.07798118897949e-6
6	3.01219149041570e-7
7	3.01219149041570e-7
8	1.48300552981016e-8
9	1.48300552981016e-8
10	7.27591443607860e-10
11	7.27591443607860e-10
12	3.56250852862215e-11
13	3.56250852862215e-11
14	1.74372779836900e-12
15	1.74372779836900e-12


0	1.24126707662364e-16
1	1.24126707662364e-16
2	2.98936698014091e-16
3	2.98936698014091e-16
4	4.00373576964363e-15
5	4.00373576964363e-15
6	8.20382700113664e-15
7	8.20382700113664e-15
8	1.04804406676577e-14
9	1.04804406676577e-14
10	1.38170366591142e-14
11	1.38170366591142e-14
12	1.00879204131189e-14
13	1.00879204131189e-14
14	8.98886502929287e-15
15	8.98886502929287e-15


0	0.0298515561854698
1	0.0298515561854698
2	0.00373129660504067
3	0.00373129660504067
4	0.000443636757782650
5	0.000443636757782650
6	5.17563643008214e-5
7	5.17563643008214e-5
8	5.98926371504417e-6
9	5.98926371504417e-6
10	6.90244537301202e-7
11	6.90244537301202e-7
12	7.93628838898321e-8
13	7.93628838898321e-8
14	9.11182588223914e-9
15	9.11182588223914e-9


